,ps_pair,ps_pair_nonCyclic,temp,chi,polymer_class,DIFF,SIGN2,SIGN3
671,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],*CC*_[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],135,0.31,polyethylene,,,
672,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],*CC*_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],125,0.18,polyethylene,0,,
673,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],*CC*_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],135,0.18,polyethylene,,,
674,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],*CC*_[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],135,1.38,polyethylene,,,
675,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],*CC*_[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],135,1.22,polyethylene,,,
676,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]Oc1c([H])c([H])c([H])c([H])c1[H],*CC*_[H]Oc1c([H])c([H])c([H])c([H])c1[H],135,1.5,polyethylene,,,
677,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],*CC*_[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],120,0.24,polyethylene,0,,
678,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],*CC*_[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],145,0.24,polyethylene,0.04,,
679,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],*CC*_[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],149,0.28,polyethylene,,,
680,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],*CC*_[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],120,0.29,polyethylene,0,,
681,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],*CC*_[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],145,0.29,polyethylene,0.05,,
682,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],*CC*_[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],149,0.34,polyethylene,,,
683,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],*CC*_[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],81,0.45,polyethylene,-0.23,,
684,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],*CC*_[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],105,0.22,polyethylene,0.06,,
685,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],*CC*_[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],120,0.28,polyethylene,0,,
686,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],*CC*_[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],145,0.28,polyethylene,0.04,,
687,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],*CC*_[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],149,0.32,polyethylene,,,
688,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],*CC*_[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],120,0.33,polyethylene,0,,
689,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],*CC*_[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],145,0.33,polyethylene,0.04,,
690,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],*CC*_[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],149,0.37,polyethylene,,,
691,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],*CC*_[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],73,0.49,polyethylene,-0.15,,
692,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],*CC*_[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],85,0.34,polyethylene,0.15,,
693,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],*CC*_[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],92,0.49,polyethylene,-0.18,,
694,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],*CC*_[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],110,0.31,polyethylene,,,
695,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],*CC*_[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],120,0.34,polyethylene,0,,
696,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],*CC*_[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],145,0.34,polyethylene,0.05,,
697,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],*CC*_[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],149,0.39,polyethylene,,,
698,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c(Cl)c([H])c1[H],*CC*_[H]c1c([H])c([H])c(Cl)c([H])c1[H],135,0.34,polyethylene,,,
699,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c([H])c([H])c1[H],*CC*_[H]c1c([H])c([H])c([H])c([H])c1[H],125,0.43,polyethylene,-0.07,-,
700,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c([H])c([H])c1[H],*CC*_[H]c1c([H])c([H])c([H])c([H])c1[H],135,0.36,polyethylene,,,
701,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],*CC*_[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],105,0.495,polyethylene,-0.215,,
702,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],*CC*_[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],120,0.28,polyethylene,0,,
703,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],*CC*_[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],145,0.28,polyethylene,0.04,,
704,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]_[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],*CC*_[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],149,0.32,polyethylene,,,
705,[H]C1([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])C([H])([H])C([H])([H])C1([H])[H]_[H]OC([H])([H])C([H])([H])[H],*CC(*)C(=O)N1CCCC1_[H]OC([H])([H])C([H])([H])[H],10,0.45,polyxacrylamide,0,,
706,[H]C1([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])C([H])([H])C([H])([H])C1([H])[H]_[H]OC([H])([H])C([H])([H])[H],*CC(*)C(=O)N1CCCC1_[H]OC([H])([H])C([H])([H])[H],60,0.45,polyxacrylamide,,,
707,[H]C1([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])C([H])([H])C([H])([H])C1([H])[H]_[H]O[H],*CC(*)C(=O)N1CCCC1_[H]O[H],3,0.49,polyxacrylamide,0.04,+,+
708,[H]C1([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])C([H])([H])C([H])([H])C1([H])[H]_[H]O[H],*CC(*)C(=O)N1CCCC1_[H]O[H],30,0.53,polyxacrylamide,0.13,,
709,[H]C1([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])C([H])([H])C([H])([H])C1([H])[H]_[H]O[H],*CC(*)C(=O)N1CCCC1_[H]O[H],60,0.66,polyxacrylamide,,,
710,[H]C1([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC1([H])[H]_ClC(Cl)(Cl)Cl,*OCCOC(=O)CCC(*)=O_ClC(Cl)(Cl)Cl,120,1.32,polyester,,,
711,[H]C1([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC1([H])[H]_[H]C(Cl)(Cl)Cl,*OCCOC(=O)CCC(*)=O_[H]C(Cl)(Cl)Cl,120,0.49,polyester,,,
712,[H]C1([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC1([H])[H]_[H]C([H])(Cl)Cl,*OCCOC(=O)CCC(*)=O_[H]C([H])(Cl)Cl,120,1.09,polyester,,,
713,[H]C1([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC1([H])[H]_[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],*OCCOC(=O)CCC(*)=O_[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],120,0.69,polyester,,,
714,[H]C1([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC1([H])[H]_[H]C([H])([H])C(=O)C([H])([H])[H],*OCCOC(=O)CCC(*)=O_[H]C([H])([H])C(=O)C([H])([H])[H],120,0.61,polyester,,,
